taxi_id,taxi_longitude,taxi_lattitude,soc
1,-74.002708,40.718479,0.39
2,-73.989738,40.729786,0.16
3,-74.013786,40.714718,0.39
4,-73.944374,40.817303,0
5,-73.962212,40.764565,0.78
6,-73.949905,40.803799,0.52
7,-73.945267,40.807774,0.88
8,-73.984734,40.715424,0.14
9,-73.994621,40.719612,0.93
10,-73.968895,40.790428,0.13
11,-73.942505,40.786213,0.86
12,-74.008652,40.716068,0.34
13,-73.962135,40.764118,0.91
14,-73.858917,40.753948,0.27
15,-73.937675,40.80864,0.97
16,-73.948318,40.784328,0.3
17,-74.000137,40.744278,0.57
18,-73.954529,40.774906,0.11
19,-73.987732,40.746498,0.76
20,-73.989998,40.762348,0.66
21,-73.961113,40.756832,0.41
22,-74.005951,40.723831,0.94
23,-73.97229,40.745766,0.89
24,-73.953773,40.787739,0.98
25,-73.978355,40.756546,0.7
26,-73.995277,40.752979,0.59
27,-73.957466,40.65131,0.81
28,-73.992203,40.742729,0.23
29,-73.989815,40.773117,0.97
30,-73.983093,40.766232,0.96
