taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.971039,40.758457,0.28
2.0,-73.973907,40.794659,0.2
3.0,-73.962029,40.713322,0.53
4.0,-73.990677,40.737309,0.77
5.0,-74.001785,40.739544,0.31
6.0,-73.988327,40.747498,0.56
7.0,-73.995888,40.767292,0.61
8.0,-73.9729,40.785301,0.53
9.0,-73.989059,40.71772,0.79
10.0,-73.985344,40.747482,0.21
11.0,-74.005394,40.740181,0.43
12.0,-73.95153,40.713905,0.7
13.0,-73.781921,40.644669,0.25
14.0,-73.982224,40.767391,0.56
15.0,-73.997269,40.714195,0.97
16.0,-73.971092,40.765236,0.62
17.0,-73.968414,40.764858,0.77
18.0,-73.994225,40.740845,0.95
19.0,-73.991745,40.749546,0.61
20.0,-73.971779,40.762878,0.23
21.0,-73.980614,40.733852,0.5
22.0,-73.983223,40.760796,0.15
23.0,-73.991791,40.738495,0.57
24.0,-73.735275,40.682491,0.52
25.0,-73.970573,40.638832,0.98
26.0,-73.998672,40.740696,0.96
27.0,-73.978584,40.74511,0.5
28.0,-74.007828,40.740257,0.45
29.0,-73.99588,40.732849,0.73
30.0,-73.978462,40.752602,0.86
